snapshot,pair,base,quote,level_divergence_bp,revision_divergence_bp,context,primary_eligible,registered_full_g10,snapshot_date,next_return_percent
2023-04-30,AUDNOK,AUD,NOK,77.13357466937802,17.61762667784739,BASE_HAWKISH,True,False,2023-04-30,2.801720866342074
2023-04-30,AUDSEK,AUD,SEK,8.431234761723786,3.132848868715925,BASE_HAWKISH,True,False,2023-04-30,3.412104666564992
2023-04-30,AUDUSD,AUD,USD,108.75850433563836,5.640325069068304,BASE_HAWKISH,True,False,2023-04-30,-1.7440655886942225
2023-04-30,CADCHF,CAD,CHF,-69.34366791134357,-18.561013548974422,BASE_DOVISH,True,False,2023-04-30,1.523781672125481
2023-04-30,EURCAD,EUR,CAD,75.0464357235429,2.335886726038872,BASE_HAWKISH,True,False,2023-04-30,-2.6994840151006305
2023-04-30,GBPCAD,GBP,CAD,107.82700420965446,33.304304415415,BASE_HAWKISH,True,False,2023-04-30,-0.813554971474618
2023-04-30,CADNOK,CAD,NOK,-50.07413613871133,-12.211208343268808,BASE_DOVISH,True,False,2023-04-30,4.493989104954345
2023-04-30,NZDCAD,NZD,CAD,88.73439840466688,45.982777733987334,BASE_HAWKISH,True,False,2023-04-30,-2.301244713784885
2023-04-30,CADSEK,CAD,SEK,-118.77647604636557,-26.695986152400273,BASE_DOVISH,True,False,2023-04-30,5.104372905177263
2023-04-30,USDCAD,USD,CAD,18.449206472451,24.188509952047895,BASE_HAWKISH,True,False,2023-04-30,0.05179735008195152
2023-04-30,GBPCHF,GBP,CHF,38.48333629831088,14.743290866440574,BASE_HAWKISH,True,False,2023-04-30,0.7102267006508631
2023-04-30,CHFNOK,CHF,NOK,19.26953177263225,6.349805205705614,BASE_HAWKISH,True,False,2023-04-30,2.970207432828864
2023-04-30,NZDCHF,NZD,CHF,19.390730493323304,27.42176418501291,BASE_HAWKISH,True,False,2023-04-30,-0.7774630416594039
2023-04-30,CHFSEK,CHF,SEK,-49.43280813502199,-8.134972603425851,BASE_DOVISH,True,False,2023-04-30,3.580591233051782
2023-04-30,EURGBP,EUR,GBP,-32.78056848611156,-30.968417689376125,BASE_DOVISH,True,False,2023-04-30,-1.8859290436260125
2023-04-30,EURNZD,EUR,NZD,-13.687962681123985,-43.64689100794846,BASE_DOVISH,True,False,2023-04-30,-0.3982393013157454
2023-04-30,EURSEK,EUR,SEK,-43.730040322822674,-24.3600994263614,BASE_DOVISH,True,False,2023-04-30,2.4048888900766325
2023-04-30,GBPNOK,GBP,NOK,57.75286807094313,21.09309607214619,BASE_HAWKISH,True,False,2023-04-30,3.6804341334797273
2023-04-30,GBPUSD,GBP,USD,89.37779773720347,9.115794463367102,BASE_HAWKISH,True,False,2023-04-30,-0.8653523215565695
2023-04-30,NZDNOK,NZD,NOK,38.66026226595555,33.771569390718525,BASE_HAWKISH,True,False,2023-04-30,2.19274439116946
2023-04-30,NOKSEK,NOK,SEK,-68.70233990765425,-14.484777809131465,BASE_DOVISH,True,False,2023-04-30,0.6103838002229178
2023-04-30,NZDUSD,NZD,USD,70.28519193221588,21.79426778193944,BASE_HAWKISH,True,False,2023-04-30,-2.3530420638668366
2023-04-30,USDSEK,USD,SEK,-100.32726957391458,-2.5074762003523787,BASE_DOVISH,True,False,2023-04-30,5.156170255259214
2023-05-31,GBPAUD,GBP,AUD,-19.5479976612871,-0.1672910628522004,BASE_DOVISH,True,False,2023-05-31,0.06810809033189358
2023-05-31,AUDNZD,AUD,NZD,44.63465526531224,6.161342861889764,BASE_HAWKISH,True,False,2023-05-31,0.966563559012676
2023-05-31,AUDSEK,AUD,SEK,16.834044920572985,8.4028101588492,BASE_HAWKISH,True,False,2023-05-31,2.11859119083735
2023-05-31,CADCHF,CAD,CHF,-90.00637126222327,-20.66270335087969,BASE_DOVISH,True,False,2023-05-31,1.807864942042122
2023-05-31,CADNOK,CAD,NOK,-80.6341659595081,-30.560029820796757,BASE_DOVISH,True,False,2023-05-31,-1.3832355481377232
2023-05-31,EURCHF,EUR,CHF,-18.579510765861038,-24.282278578060357,BASE_DOVISH,True,False,2023-05-31,0.6560089126548159
2023-05-31,NZDCHF,NZD,CHF,-20.545332694510748,-39.93606318783405,BASE_DOVISH,True,False,2023-05-31,0.2913623556222739
2023-05-31,USDCHF,USD,CHF,-76.77640585715145,-25.881944418258872,BASE_DOVISH,True,False,2023-05-31,-1.0424866039032772
